VOCE,ANNO_AVVIO,ANNO_REGIME_COMPLETO,ORIZZONTE_ANALISI_ANNI,SPESA_LORDA_MIN_EUR,SPESA_LORDA_BASE_EUR,SPESA_LORDA_MAX_EUR,CAPEX_BASE_EUR,CAPEX_CON_CONTINGENZA_BASE_EUR,OPEX_ANNUO_A_REGIME_EUR,OPEX_CUMULATA_BASE_EUR,RISPARMI_CHIUSURE_MIN_EUR,RISPARMI_CHIUSURE_BASE_EUR,RISPARMI_CHIUSURE_MAX_EUR,SPESA_NETTA_MIN_EUR,SPESA_NETTA_BASE_EUR,SPESA_NETTA_MAX_EUR,SPESA_MIN_EUR,SPESA_BASE_EUR,SPESA_MAX_EUR,NOTA_METODO,ORIZZONTE_CONFRONTO_ANNI,ETICHETTA_GRAFICO,DELTA_NETTO_BASE_EUR,DELTA_LORDO_BASE_EUR,NOTA_CONFRONTO
spesa_totale_riforma,2029/2030,2032/2033,4,24878014875.73,26893674153.47,36981983536.76,17023980244.54,21279975305.68,2325160777.0,5613698847.79,1597510649.7,3195021299.4,3195021299.4,21682993576.33,23698652854.07,35384472887.06,21682993576.33,23698652854.07,35384472887.06,totale netto = investimenti con contingenza + spesa corrente cumulata - risparmi immobiliari; personale escluso dai risparmi,4,4 anni,0.0,0.0,CAPEX invariato; cambiano anni di OPEX conteggiati e anni di risparmio immobiliare
spesa_totale_riforma,2029/2030,2037/2038,9,35777739452.78,38519478038.47,52600522654.34,17023980244.54,21279975305.68,2325160777.0,17239502732.79,4260028399.2,8520056798.4,8520056798.4,27257682654.38,29999421240.07,48340494255.14,27257682654.38,29999421240.07,48340494255.14,totale netto = investimenti con contingenza + spesa corrente cumulata - risparmi immobiliari; personale escluso dai risparmi,9,9 anni,6300768386.0,11625803885.0,CAPEX invariato; cambiano anni di OPEX conteggiati e anni di risparmio immobiliare
