TAU,CHIUDERE,DA_VALUTARE,TENERE_APERTE,QUOTA_CHIUSURE_PCT,LORDO_EUR,NETTO_EUR,RISPARMI_CHIUSURE_EUR,DOCENTI_TRASFERITI,ATA_TRASFERITI,PERSONALE_TOTALE,PERS_SEDI_CHIUDERE,PERS_CHIUSURE_CONDIZIONATE,PERS_TRASFERIMENTI_DA_VALUTARE
1.5,3719,2639,10412,22.2,34339960880,33164814350,1175146530,57718,15392,73110,65823,4234,3056
2.0,3205,2894,10671,19.1,35571849634,34626478022,945371611,43777,11674,55451,47711,4177,3565
