DATASET,GEO,AGE,ANNO_EUROSTAT,ISCRITTI_TOT_ED0_8,ISCRITTI_ED3_SEC_SUP,POP_POSAS_2026,PARTECIPAZIONE_PCT
educ_uoe_enra02,IT,Y16,2024,563153,554383,579896,97.1
educ_uoe_enra02,IT,Y17,2024,541098,529696,588694,91.9
