VOCE,ANNO_AVVIO,ANNO_REGIME_COMPLETO,ORIZZONTE_ANALISI_ANNI,SPESA_LORDA_MIN_EUR,SPESA_LORDA_BASE_EUR,SPESA_LORDA_MAX_EUR,CAPEX_BASE_EUR,CAPEX_CON_CONTINGENZA_BASE_EUR,OPEX_ANNUO_A_REGIME_EUR,OPEX_CUMULATA_BASE_EUR,RISPARMI_CHIUSURE_MIN_EUR,RISPARMI_CHIUSURE_BASE_EUR,RISPARMI_CHIUSURE_MAX_EUR,SPESA_NETTA_MIN_EUR,SPESA_NETTA_BASE_EUR,SPESA_NETTA_MAX_EUR,SPESA_MIN_EUR,SPESA_BASE_EUR,SPESA_MAX_EUR,NOTA_METODO,ORIZZONTE_CONFRONTO_ANNI,ETICHETTA_GRAFICO,DELTA_NETTO_BASE_EUR,DELTA_LORDO_BASE_EUR,NOTA_CONFRONTO
spesa_totale_riforma,2029/2030,2032/2033,4,27145100192.04,29229984108.48,39464003012.16,17023980244.54,19577577281.23,4344514766.73,9652406827.25,1597510649.7,3195021299.4,3195021299.4,23950078892.64,26034962809.08,37866492362.46,23950078892.64,26034962809.08,37866492362.46,totale netto = investimenti con contingenza + spesa corrente cumulata - risparmi immobiliari; personale escluso dai risparmi,4,4 anni,0.0,0.0,CAPEX invariato; cambiano anni di OPEX conteggiati e anni di risparmio immobiliare
spesa_totale_riforma,2029/2030,2037/2038,9,47636756220.31,50952557942.13,67198666068.15,17023980244.54,19577577281.23,4344514766.73,31374980660.9,4260028399.2,8520056798.4,8520056798.4,39116699421.91,42432501143.73,62938637668.95,39116699421.91,42432501143.73,62938637668.95,totale netto = investimenti con contingenza + spesa corrente cumulata - risparmi immobiliari; personale escluso dai risparmi,9,9 anni,16397538334.65,21722573833.65,CAPEX invariato; cambiano anni di OPEX conteggiati e anni di risparmio immobiliare
